POS,count,mean,std
NN,1739,8.602749741230593,3.452586455077643
JJ,762,8.48980380577428,2.471293650540076
NNS,386,7.7185704663212436,2.569166702392809
VBN,316,7.640478481012658,2.5436514018135736
VBG,173,7.086131791907514,2.0765125550429104
VB,488,6.993131557377049,2.7432834394248466
RB,721,6.744010540915395,2.1209197357710594
CD,80,5.99582625,1.8319824765443329
VBP,253,5.2443739130434786,3.4019512021218588
VBD,828,5.236890338164251,3.0713209928727467
IN,1104,4.6424836050724645,2.417961143934085
JJR,20,4.145245,2.480953455613598
RP,116,3.625868103448276,1.7585860191394942
PRP,1231,3.4264630381803407,1.610305652440903
JJS,16,3.38155,2.0172865438504264
MD,179,3.158231284916201,1.3647822713227482
RBR,19,3.0356315789473682,2.286173974145117
VBZ,150,3.003401333333333,2.736680328770133
PRP$,224,2.85293125,0.9791671904336606
WDT,62,2.3245451612903225,2.5383881524213847
DT,1328,1.6291119728915664,1.8808095403691583
WRB,91,1.5094285714285716,0.8584995792771526
PDT,12,1.356825,1.1510798701654026
WP,24,1.2313083333333334,0.6597364769799916
CC,558,1.1177353046594982,1.2977709686196244
EX,29,0.0,0.0
TO,167,0.0,0.0
